1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19
2021-12-13,2021-S50,Tous âges,2483.1086668,6234.6437346,6471.3234273
2022-01-10,2022-S02,05-14 ans,2987.9756218,2831.6524438,22135.121196
2022-01-10,2022-S02,65 ans ou plus,6014.3639138,9369.5271454,10815.288132
2022-01-24,2022-S04,05-14 ans,2523.7410072,3299.75686,19660.523763
2022-01-24,2022-S04,15-64 ans,4369.5655957,6890.5109489,20721.250109
2022-01-31,2022-S05,00-04 ans,3079.3241837,4811.9764748,6419.3734384
2022-01-31,2022-S05,65 ans ou plus,6541.1193754,10645.055956,9975.1655629
2022-02-07,2022-S06,05-14 ans,1108.2644866,1744.5917655,9626.1228454
2022-02-07,2022-S06,65 ans ou plus,5016.6916384,8414.5824502,7436.5893146
2022-02-07,2022-S06,Tous âges,2712.432366,5981.782614,8748.4114295
2022-02-14,2022-S07,00-04 ans,1440.3953057,2139.231327,2445.4772971
2022-02-14,2022-S07,15-64 ans,1429.3346064,2767.2385351,7758.1608027
2022-02-14,2022-S07,65 ans ou plus,3839.6828088,6625.796515,5360.2243313
2022-03-07,2022-S10,00-04 ans,923.25320054,1314.2375737,1851.3931889
2022-03-07,2022-S10,Tous âges,1192.0997141,2465.785748,4962.7196663
2022-03-14,2022-S11,15-64 ans,1228.9102156,1664.1334425,7129.0944123
2022-03-14,2022-S11,Tous âges,1478.2697027,2922.9316481,5762.0966361
2022-03-21,2022-S12,15-64 ans,1596.2190569,2006.3234318,8476.9684787
2022-03-21,2022-S12,65 ans ou plus,3404.1036106,5302.0349771,8778.1312596
2022-03-28,2022-S13,05-14 ans,775.87693251,1015.0812065,6142.3404647
2022-03-28,2022-S13,15-64 ans,1818.4611445,2206.320811,8696.7524251
2022-03-28,2022-S13,65 ans ou plus,4262.1612596,6505.5816258,9360.4858878
2022-04-04,2022-S14,00-04 ans,1784.5366799,2275.490707,2487.0163119
2022-04-04,2022-S14,15-64 ans,1880.0330213,2381.1426288,8785.942492
2022-04-04,2022-S14,65 ans ou plus,4462.5913638,6785.3457172,10069.351827
