BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
CHIRCAR_P;2019;310026927;310026794;N2200;18;1;12.39;;
CHIRCAR_P;2019;310026927;310026794;N2510;13;0;6.26;;
CHIRCAR_P;2019;310780259;310000096;M103X;;14;7;1;1
CHIRCAR_P;2019;310780259;310000096;M1040;24;4;26;1;1
CHIRCAR_P;2019;310780259;310000096;M104H;2;1;3;;1
CHIRCAR_P;2019;310780259;310000096;M1140;1;1;1.5;;
CHIRCAR_P;2019;310780259;310000096;M1160;;10;5;;
CHIRCAR_P;2019;310780259;310000096;M2140;5;;5.5;;1
CHIRCAR_P;2019;310780259;310000096;N2120;5;;5;;
CHIRCAR_P;2019;310780259;310000096;N2200;56;2;59.1;;
CHIRCAR_P;2019;310780259;310000096;N2320;3;;3.27;;
CHIRCAR_P;2019;310780259;310000096;N4130;4;;3.9;;
CHIRCAR_P;2019;310780259;310000096;NAUT;8;;7;;
CHIRCAR_P;2019;310781000;310788880;M103X;19;;19;0;1
CHIRCAR_P;2019;310781000;310788880;M1040;14;;14;0;1
CHIRCAR_P;2019;310781000;310788880;M1160;0;6;3;0;1
CHIRCAR_P;2019;310781000;310788880;N2120;1;;1.06;;
CHIRCAR_P;2019;310781000;310788880;N2200;7;3;10.26;;
CHIRCAR_P;2019;310781000;310788880;N2510;4;2;6.47;;
CHIRCAR_P;2019;310783055;310781406;M1040;15;7;5.85;;
CHIRCAR_P;2019;310783055;310781406;M2140;10;1;4.05;;
CHIRCAR_P;2019;310783055;310781406;N2120;4;1;3.67;;
CHIRCAR_P;2019;310783055;310781406;N2200;33;6;36;;
CHIRCAR_P;2019;310783055;310781406;N2320;;1;0.9;;
CHIRCAR_P;2019;310783055;310781406;N2510;27;6;30;;
CHIRCAR_P;2019;310783055;310781406;N4130;9;;8.84;;
CHIRCAR_P;2019;310783055;310781406;NAUT;4;3;5.48;;
CHIRCAR_P;2019;330000605;330781253;M1040;;6;2.05;0;1
CHIRCAR_P;2019;330780081;330000043;M103X;7;;7;1;1
CHIRCAR_P;2019;330780081;330000043;M1040;13;3;14;1;
CHIRCAR_P;2019;330780081;330000043;M104H;6;;6;0;1
CHIRCAR_P;2019;330780081;330000043;M1160;;4;0.1;0;1
CHIRCAR_P;2019;330780081;330000043;M2140;7;;7;0;1
CHIRCAR_P;2019;330780081;330000043;N2120;3;2;3.75;;
CHIRCAR_P;2019;330780081;330000043;N2200;40;2;40.9;;
CHIRCAR_P;2019;330780081;330000043;N2310;3;;3;;
CHIRCAR_P;2019;330780081;330000043;N2320;1;;1;;
CHIRCAR_P;2019;330780081;330000043;N2510;25;;25;;
CHIRCAR_P;2019;330780081;330000043;N4130;4;;4;;
CHIRCAR_P;2019;330780081;330000043;NAUT;2;2;3;;
CHIRCAR_P;2019;330780479;330000274;M103X;0;16;;1;0
CHIRCAR_P;2019;330780479;330000274;M1040;;12;;1;0
CHIRCAR_P;2019;330780479;330000274;N2200;5;;5;;
CHIRCAR_P;2019;330780503;330000308;M103X;15;;15;1;0
CHIRCAR_P;2019;330780503;330000308;M1040;2;2;3;1;1
CHIRCAR_P;2019;330780503;330000308;N2120;;1;1;;
CHIRCAR_P;2019;330780503;330000308;N2200;4;1;4.6;;
CHIRCAR_P;2019;330780503;330000308;N4130;2;;2;;
CHIRCAR_P;2019;330781352;330781196;M1040;3;1;3.2;1;1
CHIRCAR_P;2019;330781352;330781196;N2120;1;;1;;
CHIRCAR_P;2019;330781352;330781196;N2200;17;3;14.63;;
CHIRCAR_P;2019;330781352;330781196;N2510;17;4;12.52;;
CHIRCAR_P;2019;330781352;330781196;NAUT;7;;3.08;;
CHIRCAR_P;2019;330783648;330781196;M103X;;;;1;1
CHIRCAR_P;2019;330783648;330781196;M1040;15;;9.94;;
CHIRCAR_P;2019;330783648;330781196;M2140;6;1;5.17;1;1
CHIRCAR_P;2019;330783648;330781196;MAUT;;1;0.15;;
CHIRCAR_P;2019;330783648;330781196;N2120;6;;6;;
CHIRCAR_P;2019;330783648;330781196;N2200;120;30;146.23;;
CHIRCAR_P;2019;330783648;330781196;N2310;2;1;2.94;;
CHIRCAR_P;2019;330783648;330781196;N2320;8;1;8.26;;
CHIRCAR_P;2019;330783648;330781196;N2510;84;12;91.64;;
CHIRCAR_P;2019;330783648;330781196;NAUT;28;9;36.43;;
CHIRCAR_P;2019;340015502;340000512;M103X;9;;9;1;1
CHIRCAR_P;2019;340015502;340000512;M1040;24;14;31;1;1
CHIRCAR_P;2019;340015502;340000512;M104H;3;;3;;
CHIRCAR_P;2019;340015502;340000512;M1160;3;;3;0;1
CHIRCAR_P;2019;340015502;340000512;M2140;3;;3;0;1
CHIRCAR_P;2019;340015502;340000512;MAUT;3;;3;0;0
CHIRCAR_P;2019;340015502;340000512;N2120;3;;3;;
CHIRCAR_P;2019;340015502;340000512;N2200;32;5;35.85;;
CHIRCAR_P;2019;340015502;340000512;N2310;9;;9;;
CHIRCAR_P;2019;340015502;340000512;N2320;2;;2;;
CHIRCAR_P;2019;340015502;340000512;N2510;20;2;21.32;;
CHIRCAR_P;2019;340015502;340000512;N4130;5;;5;;
CHIRCAR_P;2019;340015502;340000512;NAUT;18;2;19.6;;
CHIRCAR_P;2019;340780667;340000280;M103X;1;1;1.5;0;1
CHIRCAR_P;2019;340780667;340000280;M1040;3;1;3.5;0;1
CHIRCAR_P;2019;340780667;340000280;M1160;4;0;4;0;1
CHIRCAR_P;2019;340780667;340000280;N2120;1;0;1;;
CHIRCAR_P;2019;340780667;340000280;N2200;10;0;10;;
CHIRCAR_P;2019;340780667;340000280;N4130;5;1;5.5;;
CHIRCAR_P;2019;340780667;340000280;NAUT;2;0;2;;
CHIRCAR_P;2019;340796663;340780477;M103X;;3;0.25;1;1
CHIRCAR_P;2019;340796663;340780477;M1040;15;15;13.41;1;1
CHIRCAR_P;2019;340796663;340780477;M104H;12;15;8.69;1;1
CHIRCAR_P;2019;340796663;340780477;M2140;;16;3.03;0;1
CHIRCAR_P;2019;340796663;340780477;MAUT;1;13;7.13;0;1
CHIRCAR_P;2019;340796663;340780477;N2120;5;2;5.73;;
CHIRCAR_P;2019;340796663;340780477;N2200;85;11;84.31;;
CHIRCAR_P;2019;340796663;340780477;N2310;3;2;3.67;;
CHIRCAR_P;2019;340796663;340780477;N2320;15;;15.56;;
CHIRCAR_P;2019;340796663;340780477;N2510;67;4;64.46;;
