BOR;AN;FI;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP
SSR;2019;050000991;050000546;SSR_A58;1;18;;;;5354;;0
SSR;2019;050000991;050000546;SSR_A59;1;26;;;;8639;;0
SSR;2019;050000991;050000546;SSR_TOT;;131;47815;10;1380;41330;62;720
SSR;2019;050001064;050000561;SSR_A;;90;32850;;841;29267;27;0
SSR;2019;050001064;050000561;SSR_A50;1;90;;;;29267;;0
SSR;2019;050001064;050000561;SSR_TOT;;90;32850;;841;29267;27;0
SSR;2019;050002351;130037815;SSR_A;;25;9125;18;272;8398;11;5768
SSR;2019;050002351;130037815;SSR_A50;1;;;1;;0;;49
SSR;2019;050002351;130037815;SSR_A51;1;20;;9;;6707;;3936
SSR;2019;050002351;130037815;SSR_A52;1;5;;5;;1691;;1257
SSR;2019;050002351;130037815;SSR_A53;1;;;3;;0;;526
SSR;2019;050002351;130037815;SSR_TOT;;25;9125;18;272;8398;11;5768
SSR;2019;060000163;060780327;SSR_A;;6;2190;;73;1201;1;0
SSR;2019;060000163;060780327;SSR_A50;1;6;;;;1201;;0
SSR;2019;060000163;060780327;SSR_TOT;;6;2190;;73;1201;1;0
SSR;2019;060000296;060780640;SSR_A;;84;30660;;907;24018;2;0
SSR;2019;060000296;060780640;SSR_A50;1;;;;;0;;0
SSR;2019;060000296;060780640;SSR_A53;1;42;;;;10090;;0
SSR;2019;060000296;060780640;SSR_A54;1;42;;;;13928;;0
SSR;2019;060000296;060780640;SSR_TOT;;84;30660;;907;24018;2;0
SSR;2019;060000304;060780657;SSR_A;;10;3650;;130;3342;1;0
SSR;2019;060000304;060780657;SSR_A50;1;10;;;;3342;;0
SSR;2019;060000304;060780657;SSR_TOT;;10;3650;;130;3342;1;0
SSR;2019;060000411;060780780;SSR_A;;10;3650;;98;3372;6;0
SSR;2019;060000411;060780780;SSR_A50;1;10;;;;3372;;0
SSR;2019;060000411;060780780;SSR_TOT;;10;3650;;98;3372;6;0
SSR;2019;060000478;060780897;SSR_A;;30;10950;;283;10717;24;0
SSR;2019;060000478;060780897;SSR_A50;1;30;;;;10717;;0
SSR;2019;060000478;060780897;SSR_A59;1;;;;;0;;0
SSR;2019;060000478;060780897;SSR_TOT;;30;10950;;283;10717;24;0
SSR;2019;060000486;060780905;SSR_A;;13;4745;;166;4501;7;0
SSR;2019;060000486;060780905;SSR_A50;1;13;;;;4501;;0
SSR;2019;060000486;060780905;SSR_TOT;;13;4745;;166;4501;7;0
SSR;2019;060000510;060780954;SSR_A;;25;9125;;316;8849;4;0
SSR;2019;060000510;060780954;SSR_A50;1;5;;;;1770;;0
SSR;2019;060000510;060780954;SSR_A59;1;20;;;;7079;;0
SSR;2019;060000510;060780954;SSR_TOT;;25;9125;;316;8849;4;0
SSR;2019;060001625;060006889;SSR_A;;19;6935;;166;5093;4;0
SSR;2019;060001625;060006889;SSR_A50;1;19;;;;5093;;0
SSR;2019;060001625;060006889;SSR_TOT;;19;6935;;166;5093;4;0
SSR;2019;060002102;060791761;SSR_A;;82;29930;;822;28750;40;0
SSR;2019;060002102;060791761;SSR_A50;1;32;;;;11571;;0
SSR;2019;060002102;060791761;SSR_A59;1;50;;;;17179;;0
SSR;2019;060002102;060791761;SSR_TOT;;82;29930;;822;28750;40;0
SSR;2019;060005469;920030269;SSR_A;;117;42643;;1450;41186;18;0
SSR;2019;060005469;920030269;SSR_A50;1;90;;;;26378;;0
SSR;2019;060005469;920030269;SSR_A59;1;27;;;;14808;;0
SSR;2019;060005469;920030269;SSR_TOT;;117;42643;;1450;41186;18;0
SSR;2019;060015328;060015278;SSR_E;;15;3000;25;97;2982;0;5681
SSR;2019;060015328;060015278;SSR_E50;1;15;;25;;2982;;5681
SSR;2019;060015328;060015278;SSR_TOT;;15;3000;25;97;2982;0;5681
SSR;2019;060021094;060024619;SSR_A;;43;15695;;617;15731;1;0
SSR;2019;060021094;060024619;SSR_A50;1;43;;;;15731;;0
SSR;2019;060021094;060024619;SSR_TOT;;43;15695;;617;15731;1;0
SSR;2019;060021201;060000155;SSR_A;;50;18250;25;747;18521;8;5102
SSR;2019;060021201;060000155;SSR_A50;1;20;;;;2770;;0
SSR;2019;060021201;060000155;SSR_A51;1;30;;25;;15751;;5102
SSR;2019;060021201;060000155;SSR_TOT;;50;18250;25;747;18521;8;5102
SSR;2019;060023694;060023686;SSR_A;;;;30;0;0;0;5445
SSR;2019;060023694;060023686;SSR_A50;1;;;;;0;;0
SSR;2019;060023694;060023686;SSR_A55;1;;;30;;0;;5445
SSR;2019;060023694;060023686;SSR_TOT;;;;30;0;0;0;5445
SSR;2019;060780145;060000049;SSR_A;;101;36865;;1120;35375;42;0
SSR;2019;060780145;060000049;SSR_A50;1;2;;;;1493;;0
SSR;2019;060780145;060000049;SSR_A56;1;10;;;;2626;;0
SSR;2019;060780145;060000049;SSR_A59;1;89;;;;31256;;0
SSR;2019;060780145;060000049;SSR_TOT;;101;36865;;1120;35375;42;0
SSR;2019;060780186;060006939;SSR_A;;52;18980;;588;19189;22;0
SSR;2019;060780186;060006939;SSR_A50;1;52;;;;19189;;0
SSR;2019;060780186;060006939;SSR_TOT;;52;18980;;588;19189;22;0
SSR;2019;060780277;920030269;SSR_A;;126;45990;;1058;42713;89;0
SSR;2019;060780277;920030269;SSR_A50;1;96;;;;30350;;0
SSR;2019;060780277;920030269;SSR_A59;1;30;;;;12363;;0
SSR;2019;060780277;920030269;SSR_TOT;;126;45990;;1058;42713;89;0
SSR;2019;060780343;060000171;SSR_A;;58;21170;;667;20380;27;0
SSR;2019;060780343;060000171;SSR_A50;1;58;;;;20380;;0
SSR;2019;060780343;060000171;SSR_TOT;;58;21170;;667;20380;27;0
SSR;2019;060780350;750056335;SSR_A;;44;16060;;405;14535;31;0
SSR;2019;060780350;750056335;SSR_A50;1;44;;;;14535;;0
SSR;2019;060780350;750056335;SSR_TOT;;44;16060;;405;14535;31;0
SSR;2019;060780392;060000205;SSR_A;;97;35405;;929;32923;44;0
SSR;2019;060780392;060000205;SSR_A50;1;97;;;;32923;;0
SSR;2019;060780392;060000205;SSR_TOT;;97;35405;;929;32923;44;0
SSR;2019;060780459;010783009;SSR_A;;85;31025;22;643;26819;67;6755
SSR;2019;060780459;010783009;SSR_A50;1;12;;1;;1970;;135
SSR;2019;060780459;010783009;SSR_A51;1;39;;16;;15008;;5510
SSR;2019;060780459;010783009;SSR_A52;1;34;;5;;9841;;1110
SSR;2019;060780459;010783009;SSR_TOT;;85;31025;22;643;26819;67;6755
SSR;2019;060780558;750720575;SSR_A;;9;2898;1;142;3500;0;15
SSR;2019;060780558;750720575;SSR_A50;1;9;;1;;3500;;15
SSR;2019;060780558;750720575;SSR_E;;94;28687;6;803;23809;30;3638
SSR;2019;060780558;750720575;SSR_E50;1;62;;5;;13908;;3414
SSR;2019;060780558;750720575;SSR_E55;1;32;;1;;9901;;224
SSR;2019;060780558;750720575;SSR_TOT;;103;31585;7;945;27309;30;3653
SSR;2019;060780665;060000312;SSR_A;;65;23725;;473;19802;60;0
SSR;2019;060780665;060000312;SSR_A50;1;65;;;;19802;;0
SSR;2019;060780665;060000312;SSR_TOT;;65;23725;;473;19802;60;0
