BOR;AN;FI;FI_EJ;EQUIPSSR;SANSEQ;EQPL;EQAU
SSR2;2019;020000105;020000055;PISCIN;1;;
SSR2;2019;020000105;020000055;SALINT;1;;
SSR2;2019;020000105;020000055;SIMESP;1;;
SSR2;2019;020000105;020000055;STICON;1;;
SSR2;2019;020000105;020000055;VEHADP;1;;
SSR2;2019;020000162;020000063;APTAUT;1;;
SSR2;2019;020000162;020000063;ASSMAR;1;;
SSR2;2019;020000162;020000063;ASSMEM;1;;
SSR2;2019;020000162;020000063;EXPEQU;1;;
SSR2;2019;020000162;020000063;EXPURO;1;;
SSR2;2019;020000162;020000063;IDRACH;1;;
SSR2;2019;020000162;020000063;ISOCIN;1;;
SSR2;2019;020000162;020000063;LABMAR;1;;
SSR2;2019;020000162;020000063;PISCIN;;1;
SSR2;2019;020000162;020000063;SALINT;1;;
SSR2;2019;020000162;020000063;SIMESP;1;;
SSR2;2019;020000162;020000063;STICON;1;;
SSR2;2019;020000162;020000063;VEHADP;1;;
SSR2;2019;020000246;020000071;APTAUT;1;;
SSR2;2019;020000246;020000071;ASSMAR;1;;
SSR2;2019;020000246;020000071;ASSMEM;1;;
SSR2;2019;020000246;020000071;EXPEQU;1;;
SSR2;2019;020000246;020000071;EXPURO;1;;
SSR2;2019;020000246;020000071;IDRACH;1;;
SSR2;2019;020000246;020000071;ISOCIN;1;;
SSR2;2019;020000246;020000071;LABMAR;1;;
SSR2;2019;020000246;020000071;PISCIN;1;;
SSR2;2019;020000246;020000071;SALINT;1;;
SSR2;2019;020000246;020000071;SIMESP;1;;
SSR2;2019;020000246;020000071;STICON;1;;
SSR2;2019;020000246;020000071;VEHADP;1;;
SSR2;2019;020000303;750814030;APTAUT;;1;
SSR2;2019;020000303;750814030;ASSMAR;1;;
SSR2;2019;020000303;750814030;ASSMEM;;1;
SSR2;2019;020000303;750814030;EXPEQU;1;;
SSR2;2019;020000303;750814030;EXPURO;1;;
SSR2;2019;020000303;750814030;IDRACH;1;;
SSR2;2019;020000303;750814030;ISOCIN;;1;
SSR2;2019;020000303;750814030;LABMAR;1;;
SSR2;2019;020000303;750814030;PISCIN;;1;
SSR2;2019;020000303;750814030;SALINT;1;;
SSR2;2019;020000303;750814030;SIMESP;1;;
SSR2;2019;020000303;750814030;STICON;;1;
SSR2;2019;020000303;750814030;VEHADP;1;;
SSR2;2019;020000394;020000253;APTAUT;1;;
SSR2;2019;020000394;020000253;ASSMAR;1;;
SSR2;2019;020000394;020000253;ASSMEM;1;;
SSR2;2019;020000394;020000253;EXPEQU;1;;
SSR2;2019;020000394;020000253;EXPURO;1;;
SSR2;2019;020000394;020000253;IDRACH;1;;
SSR2;2019;020000394;020000253;ISOCIN;1;;
SSR2;2019;020000394;020000253;LABMAR;1;;
SSR2;2019;020000394;020000253;PISCIN;1;;
SSR2;2019;020000394;020000253;SALINT;1;;
SSR2;2019;020000394;020000253;SIMESP;1;;
SSR2;2019;020000394;020000253;STICON;1;;
SSR2;2019;020000394;020000253;VEHADP;1;;
SSR2;2019;020000519;020000261;APTAUT;1;;
SSR2;2019;020000519;020000261;ASSMAR;1;;
SSR2;2019;020000519;020000261;ASSMEM;1;;
SSR2;2019;020000519;020000261;EXPEQU;1;;
SSR2;2019;020000519;020000261;EXPURO;1;;
SSR2;2019;020000519;020000261;IDRACH;1;;
SSR2;2019;020000519;020000261;ISOCIN;1;;
SSR2;2019;020000519;020000261;LABMAR;1;;
SSR2;2019;020000519;020000261;PISCIN;1;;
SSR2;2019;020000519;020000261;SALINT;1;;
SSR2;2019;020000519;020000261;SIMESP;1;;
SSR2;2019;020000519;020000261;STICON;1;;
SSR2;2019;020000519;020000261;VEHADP;1;;
SSR2;2019;020000535;020000287;APTAUT;1;;
SSR2;2019;020000535;020000287;ASSMAR;1;;
SSR2;2019;020000535;020000287;ASSMEM;1;;
