BOR;AN;FI;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2019;060780947;060800174;;;;;;;1;C;;;;;;;;1;A;;;;;;;;;;;0;;;;;;;;54.76;;;72.91;;;;;
ORG;2019;060780996;630786754;;;;1;E;;;;;;;;;;;;;;;;;75;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060781200;060000635;;;;;;;;;;;;;1;B;;;;;;;;44;C;;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2019;060781374;060000718;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060781929;060000858;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;0;;;;;;;0.25;;;0.5;;;1.67;;;0.79
ORG;2019;060785219;060780608;;;;;;;;;;;;;;;;3;A;B;;;;;;;;;;0;;;;;;;1;;;;;;;;;6
ORG;2019;060785227;060780608;;;;;;;;;;;;;;;;3;A;B;;;;1;C;;;;;0;;;;;;;1;;;;;;;;;6
ORG;2019;060785243;060001484;2;C;;;;;;;;;;;;;;;;;;;;120;C;;;;;0;;;;;;;;0.04;;;0.4;;;0.9;;
ORG;2019;060789674;130037815;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;;;;;;1;;
ORG;2019;060791811;060010808;;;;;;;;;;;;;;;;;;;;;;90;C;D;;;;0;;;;;;;0.1;;;;;;;;;0.1
ORG;2019;060791860;060790797;;;;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2019;060792090;060790540;;;;;;;;;;;;;;;;;;;;;;5;C;A;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060792926;920033636;;;;;;;;;;;;;;;;;;;;;;3;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060794013;060790797;;;;;;;;;;;;;1;B;;1;D;;;;;22;C;D;2;G;;1;1;ALPES MARITIMES;;;;;;;;;;;;;;
ORG;2019;060798881;060798873;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;060800166;060780608;;;;;;;;;;;;;;;;3;A;B;;;;;;;;;;0;;;;;;;1;;;;;;;;;6
ORG;2019;060800174;;;;;1;C;;;;;;;;;;;1;A;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2019;070000021;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;2;C;;;;;;;;;;;;;;;;;;;;;
ORG;2019;070000039;070780119;;;;1;A;B;;;;;;;;;;1;A;;;;;1;A;;;;;;;;;;;;0.25;;0.01;;1.23;;;;0.12;0.5
