BOR;AN;FI;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2019;620000224;620100651;60;20008;55;44;0;;18;;;;18;;;;;;17;;;1;9;;3;2;1
USLD;2019;620000240;620100677;60;20190;49;45;0;0;5;0;15;0;12;11;0;0;0;0;6;0;0;0;0;0;6;1;0
USLD;2019;620000323;620101337;30;9997;24;18;;;;;3;;10;;;;;;2;;;;4;;1;1;
USLD;2019;620000349;620101360;80;27462;58;21;;;16;;;;15;4;;;;;23;;1;;7;;;;
USLD;2019;620000653;620103440;60;21039;24;19;;;2;;1;;9;;;;;;;;;;0;;;;
USLD;2019;620003350;620001834;88;25073;84;68;1;2;3;10;19;;37;6;;;;;6;;;;49;;12;;
USLD;2019;620106625;620020859;40;12662;22;20;;;;1;;;20;;;;;;1;;;;;;;;
USLD;2019;620108357;620103432;25;6020;6;5;;;;;;;;;;;;;;;;;;;;;
USLD;2019;620111195;620100057;110;37530;81;75;;;1;1;;;39;17;;;;;2;;;85;74;;4;;
USLD;2019;630000016;630180032;30;10800;51;20;0;0;13;8;0;0;22;6;0;0;0;0;2;0;0;0;0;0;4;0;0
USLD;2019;630000412;630780997;40;12160;19;23;0;;4;;1;;7;;0;;0;;7;;7;;13;;1;0;0
USLD;2019;630000420;630781003;29;9434;44;28;0;0;7;3;17;0;0;6;0;0;0;0;9;0;0;0;12;0;14;4;0
USLD;2019;630000446;630781029;30;10189;37;31;0;;6;;3;;12;;0;;0;;3;;;;;;13;;
USLD;2019;630000560;630781367;66;23536;53;40;;;13;1;;;27;1;;;;;11;;;;;;5;6;
USLD;2019;630781821;920030269;30;6804;14;6;;;9;;;;;1;4;;;;;;;;;;8;1;
USLD;2019;630783538;630780989;110;37463;55;60;0;0;7;12;8;0;35;;3;0;0;0;14;22;0;27;0;0;5;0;0
USLD;2019;630790384;630786754;44;15767;12;8;0;0;0;2;0;0;0;1;7;1;0;0;1;0;0;0;0;0;0;0;0
USLD;2019;640000162;640780417;96;32194;55;49;;;1;1;8;;12;9;;;;;11;;3;;13;;1;;
USLD;2019;640000402;640780813;55;19643;33;23;0;0;10;0;5;0;11;1;2;0;0;0;5;0;0;0;13;0;3;0;0
USLD;2019;640000410;640780821;42;15930;24;;0;0;5;0;7;0;9;0;0;0;0;0;3;0;0;0;0;0;1;1;2
USLD;2019;640000600;640781290;80;21897;26;26;;;3;;2;;20;;;;;;1;106;0;2;4;0;2;;
USLD;2019;640003836;640791976;20;6809;20;17;;;;3;;;;2;;2;;;6;;;;;;;;
USLD;2019;640780755;640780417;54;19519;26;10;;;;;;;;;;;;;;;;;;;;;
USLD;2019;640786281;640791976;60;21475;30;30;;;;7;;;;3;;8;;;23;;;;;;;;
USLD;2019;650000045;650780158;33;11636;33;30;0;0;1;1;1;0;19;2;0;0;0;0;6;;;1;17;;2;0;0
