BOR;AN;FI;FI_EJ;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2019;300780152;300017985;1;242;;154;0.03;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;300782117;300780038;1;1695;;1525;2.79;1;50;5;2132;1133;25392;16;7;;;8.56;3.2;0;0;1;1;22;24;1;;15;1;8;1;;1;23.05;27.51;1.9;;13.83
MCOGER;2019;300788502;300017985;1;166;;108;0.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;310000310;310780671;1;384;0;370;1.65;1;24;0;794;0;9144;4;3;1;1;2.68;2.21;;;1;1;10;16;;;3;3;;;;2;12.65;17.76;;;4.31
MCOGER;2019;310013628;310786256;1;248;76;301;0.92;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;310021571;310021563;0;;;;;1;14;0;458;0;4022;1;1;1;1;1.8;1.8;0;0;1;1;6;8;;;;1;;1;;;5.66;8;0.25;;
MCOGER;2019;310022298;310781406;1;1214;230;1394;5.8;1;18;4;588;840;6539;2;2;5;4;3.24;2.74;;;;;9;16;;;;3;6;2;;5;10.76;17.94;0.2;;1.32
MCOGER;2019;310026927;310026794;1;300;;300;0.5;1;11;;626;0;5738;2;2;1;1;0.54;0.54;0;0;1;1;26;13;;;;2;3;;;;9.36;10;;;
MCOGER;2019;310780283;310000112;1;356;0;335;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;310781000;310788880;1;484;;484;1.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;310782347;310789136;1;5;190;186;0.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2019;310783048;310781406;1;673;791;1203;4.1;1;68;5;3038;2210;23109;3;1;11;8;7.69;4.59;;;;;43;48;;;8;8;6;1;;7;43.67;49.81;0.5;;8.65
MCOGER;2019;310783055;310781406;0;;;;;1;20;;1645;0;7413;3;2;2;2;3.21;2.11;;;;;11;12;;;2;4;2;;;;13.19;12.91;;;1.77
MCOGER;2019;310783063;310781406;0;;;;;1;;8;0;2324;0;;;6;4;3.94;2.14;;;;;2;4;;;1;2;;;;7;3;3.9;;;4.8
MCOGER;2019;310786389;310001433;0;;;;;1;5;;221;0;904;;;;;;;0;0;0;0;20;19;1;;;0;3;1;;;2.53;2.59;0.24;;
