BOR;AN;FI;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2019;080000276;080001969;1;4;;;60;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;080000425;080000615;1;8;;;232;0;;;;;;;1;2157;2;9;332;157;57;118;550;;116;123;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;3;;;;1;1;0;;2.84;;;1;0.77
PALIA;2019;090000175;090781774;1;9;6;0;202;0;;;;;;;1;1525;0;;;;;;356;10;56;407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;2;1;0.75;;;1.09;;;1.5;0.43
PALIA;2019;090000183;090781816;1;2;1;;77;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;090001629;090781774;1;3;0;0;37;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;100000090;100000017;1;15;0;0;18;0;;;;;;;1;1497;30;7;579;130;105;347;734;0;50;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;0;0;0;0;3;3;0;0;0;0;2;1;1.21;1.21;0;2;0;0;0.89;0.5
PALIA;2019;100000124;100009075;0;;;;;0;;;;;;;1;2;;;;;;;2;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;100000199;100006279;;;;;;1;;;142;;;;;;;;;;;;;;;;;;;6;;5;;;;;;;;2;1;1;;;;6.74;;5.79;0.68;0.64;;;;1;;;;;;;;;;;;;;;;1.11;;;0.58;
PALIA;2019;100009364;100000017;0;;;;;1;1;12;261;;;9;0;;;;;;;;;;;;0;0;1;9;2;9;0;2;5;4;0;3;0;0;1;3;1.95;1.56;1;10.68;1.97;10.67;0.8;3.25;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;100010818;100010792;1;3;;;37;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
