BOR;AN;FI;FI_EJ;DIM_A1;DIM_A2;DIM_A3;DIM_A4;DIM_A5;DIM_A6;DIM_A7;DIM_A8;DIM_A9;DIM_A10;DIM_A11;DIM_A12;DIM_A13;DIM_A14;DIM_A15;DIM_A16;DIM_A17;DIM_A18;DIM_A19;DIM_A20;DIM_A21;DIM_A22;DIM_A23;DIM_A24;DIM_A25
INFOMED;2019;080010523;920030269;;;;;;;1;;;;1;;0;0;0;0;0;0;0;0;0;0;;0.5;
INFOMED;2019;090000019;090180019;;;;;;;;1;;;;;0;0;0;0;1;0;0;0;0;1;090781774;0.5;0.05
INFOMED;2019;090000175;090781774;1;;;1;;;1;;;1;;;;;;;1;0;;;1;0;;5.73;0.9
INFOMED;2019;090000183;090781816;;;1;;;;;1;;1;;;0;0;0;0;0;1;1;0;0;0;;7.5;0.8
INFOMED;2019;100000082;100001148;;;1;;;;;;;;;;0;0;0;0;0;0;;;0;0;;0.08;0.17
INFOMED;2019;100000090;100000017;1;;;;;;;1;;;;;0;0;0;0;0;1;1;0;0;0;;11.97;2
INFOMED;2019;100000108;100000033;;;;;;;;;;;1;;0;0;0;0;0;1;0;0;1;0;;1.86;
INFOMED;2019;100000116;100000041;1;;;;;;1;;;;;;1;0;0;0;0;0;0;0;0;0;;;
INFOMED;2019;100000124;100009075;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;1;0.64
INFOMED;2019;100000157;100009075;;;1;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;;1;
INFOMED;2019;100010362;100010347;;;;;;;;;1;;;;;;1;1;1;0;;;;1;100010354;0.15;0.1
INFOMED;2019;100010545;310025010;;;;;;;1;;;;;;0;0;0;0;0;0;1;0;0;0;;0.2;0.1
INFOMED;2019;100010578;100010347;;;;;1;;;;;;;;1;0;0;1;1;0;0;0;0;0;;0.2;
INFOMED;2019;100010818;100010792;;;1;;;;;;;;;;0;0;1;0;1;1;1;0;1;1;100000090;2.69;1.5
INFOMED;2019;100010933;100010347;;;;;;;;;1;;;;;;1;1;1;0;;;;;100010354;0.15;0.15
INFOMED;2019;110000023;110780061;1;;;;;;;;;;;;0;0;0;0;0;1;1;0;0;0;;6.34;2.39
INFOMED;2019;110000049;110780087;;;1;;;;;;1;;;;0;0;0;1;1;0;0;0;0;1;110000023;1;0.1
INFOMED;2019;110000056;110780137;;1;;;;;;1;;;1;;0;0;0;0;1;1;1;0;1;0;;5.74;1
INFOMED;2019;110000189;110780707;;;1;1;;;;;1;1;;;0;0;0;0;0;1;0;1;1;1;110786324;1.2;0.1
INFOMED;2019;110000247;110780772;;;1;;;1;;;1;;;;0;0;0;0;0;0;0;0;1;0;;1;0.2
INFOMED;2019;110000262;110781010;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;0;0;;0.1;0.05
INFOMED;2019;110003118;110007341;;;;;;;;;1;;;;1;0;1;1;1;0;0;0;1;0;;0.5;0.2
INFOMED;2019;110005394;750056335;;;;;1;;;;;;;;0;0;0;0;0;0;0;0;0;0;;1;0.1
INFOMED;2019;110007630;110000072;;;;;;;;;1;;;;0;0;0;0;0;1;1;1;1;0;;0.58;0.12
INFOMED;2019;110780152;110000064;;;;;;;;;;;;1;0;0;1;1;0;1;0;0;1;0;;1;
INFOMED;2019;110780194;110000080;;;;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;0.5;0.3
INFOMED;2019;110780202;310021316;;;;;;;;1;;;;;0;0;1;1;1;1;1;1;0;0;;0.5;0.2
INFOMED;2019;110780228;110000114;;;1;;;;;;1;;;;0;0;0;0;0;0;0;0;0;0;;4.72;0.48
INFOMED;2019;110780236;110780707;;;1;;;1;;;1;1;;;0;0;0;0;0;0;0;0;0;1;110786324;0.3;
INFOMED;2019;110780483;110000155;;;1;;;;;;;;;;0;0;0;0;0;1;1;1;1;0;;2;0.2
INFOMED;2019;110786324;;;;;;;;1;;;1;;;0;0;0;0;0;1;1;0;1;0;;1.6;0.6
INFOMED;2019;120000039;120780044;;;1;;;;;;1;;1;;0;0;0;0;0;0;;;1;0;;3.8;1
INFOMED;2019;120000054;120780069;;;1;;;;;;1;;;;0;0;0;0;0;1;0;0;1;1;090781774;3.15;0.05
INFOMED;2019;120000070;120780085;;1;;;;;1;;;;;;0;0;0;0;0;0;0;0;0;0;120780044;1.3;0.2
INFOMED;2019;120000088;120780093;;1;;;;;;1;;;;;0;0;0;0;0;0;0;0;0;1;120780101;;
INFOMED;2019;120000096;120780101;;1;;;;;;1;;;;;0;0;0;0;0;1;1;0;0;1;120780044;0.65;0
INFOMED;2019;120000153;120780291;;;;;;;;1;;;;;0;0;0;0;0;0;0;0;0;0;;0.3;0.1
INFOMED;2019;120000237;120780481;;;;;;;;1;;;;;1;1;1;1;0;1;;1;0;1;460780083;0.1;0.03
