BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2019;130783327;130001415;M1110;5;1;5.2;0;1
DIALYSE_P;2019;130783327;130001415;N2500;11;10;15.67;;
DIALYSE_P;2019;130783327;130001415;NAUT;1;;1;;
DIALYSE_P;2019;130783327;130001415;NCINF;30;24;42.22;;
DIALYSE_P;2019;130784481;130006562;M1110;7;1;7.5;0;1
DIALYSE_P;2019;130784481;130006562;N2500;11;4;13;;
DIALYSE_P;2019;130784481;130006562;N4100;2;2;3;;
DIALYSE_P;2019;130784481;130006562;NAUT;8;12;14.95;;
DIALYSE_P;2019;130784481;130006562;NCINF;48;11;53.5;;
DIALYSE_P;2019;130804297;130786049;M1110;;1;0.1;;
DIALYSE_P;2019;130804297;130786049;N2500;2;1;2.2;;
DIALYSE_P;2019;130804297;130786049;NAUT;;1;0.25;;
DIALYSE_P;2019;130804297;130786049;NCINF;5;1;6.15;;
DIALYSE_P;2019;130806029;940023591;M1110;;2;1;0;0
DIALYSE_P;2019;130806029;940023591;N2500;;1;0.5;;
DIALYSE_P;2019;130806029;940023591;N4100;;1;0.17;;
DIALYSE_P;2019;130806029;940023591;NAUT;2;2;2.08;;
DIALYSE_P;2019;130806029;940023591;NCINF;4;4;5.65;;
DIALYSE_P;2019;130806078;130016058;M1110;;4;1.5;0;0
DIALYSE_P;2019;130806078;130016058;NCINF;8;3;10;;
DIALYSE_P;2019;130806417;130006810;M1110;;1;0.21;0;1
DIALYSE_P;2019;130806417;130006810;N4100;;;0.11;;
DIALYSE_P;2019;130806417;130006810;NAUT;1;;1.37;;
DIALYSE_P;2019;130806417;130006810;NCINF;;1;0.47;;
DIALYSE_P;2019;130809809;130007156;M1110;4;;3.9;0;0
DIALYSE_P;2019;130809809;130007156;N2500;6;1;8.61;;
DIALYSE_P;2019;130809809;130007156;N4100;;1;0.25;;
DIALYSE_P;2019;130809809;130007156;NAUT;2;;2;;
DIALYSE_P;2019;130809809;130007156;NCINF;21;1;21.77;;
DIALYSE_P;2019;130811797;130006562;M1110;;2;0.1;0;1
DIALYSE_P;2019;130811797;130006562;NCINF;;1;0.5;;
DIALYSE_P;2019;140000027;140000035;M1110;2;3;4;;1
DIALYSE_P;2019;140000027;140000035;N2500;7;5;10.02;;
DIALYSE_P;2019;140000027;140000035;NAUT;;1;0.4;;
DIALYSE_P;2019;140000027;140000035;NCINF;7;8;14.15;;
DIALYSE_P;2019;140000209;140000100;M1110;2;;1.35;0;1
DIALYSE_P;2019;140000209;140000100;N2500;12;1;11.47;;
DIALYSE_P;2019;140000209;140000100;NAUT;10;1;7.04;;
DIALYSE_P;2019;140000209;140000100;NCINF;22;11;29.82;;
DIALYSE_P;2019;140002254;140000852;M1110;;2;0.3;0;0
DIALYSE_P;2019;140002254;140000852;NCINF;;16;10.5;;
DIALYSE_P;2019;140017237;140003278;M1110;2;;2;0;0
DIALYSE_P;2019;140017237;140003278;N2500;3;3;5.5;;
DIALYSE_P;2019;140017237;140003278;NCINF;13;5;18;;
DIALYSE_P;2019;140027434;140000852;M1110;;2;0.24;0;0
DIALYSE_P;2019;140027434;140000852;NCINF;;5;2.4;;
DIALYSE_P;2019;140028895;140000852;M1110;;2;0.16;0;0
DIALYSE_P;2019;140028895;140000852;NCINF;;3;1.8;;
DIALYSE_P;2019;150001758;630000990;M1110;;0;0.4;0;0
DIALYSE_P;2019;150001758;630000990;NAUT;;4;1.62;;
DIALYSE_P;2019;150001758;630000990;NCINF;6;1;6.8;;
DIALYSE_P;2019;150780732;150000271;M1110;;2;1.5;0;0
DIALYSE_P;2019;150780732;150000271;N2500;4;0;4;;
DIALYSE_P;2019;150780732;150000271;N4100;;1;0.5;;
DIALYSE_P;2019;150780732;150000271;NAUT;2;0;2;;
DIALYSE_P;2019;150780732;150000271;NCINF;14;1;14.8;;
DIALYSE_P;2019;160000253;160000451;M1110;0;5;2.36;0;1
DIALYSE_P;2019;160000253;160000451;N2500;8;6;10.66;;
DIALYSE_P;2019;160000253;160000451;NAUT;5;2;4.82;;
DIALYSE_P;2019;160000253;160000451;NCINF;21;4;22.74;;
DIALYSE_P;2019;160006110;860000348;M1110;;4;0.79;0;1
DIALYSE_P;2019;160006110;860000348;N2500;;3;2.31;;
DIALYSE_P;2019;160006110;860000348;N4100;;;1.11;;
DIALYSE_P;2019;160006110;860000348;NAUT;2;;3.56;;
DIALYSE_P;2019;160006110;860000348;NCINF;7;10;14.1;;
DIALYSE_P;2019;160012159;860000348;M1110;;;0.35;0;1
DIALYSE_P;2019;160012159;860000348;N2500;1;;1;;
DIALYSE_P;2019;160012159;860000348;N4100;;;0.74;;
DIALYSE_P;2019;160012159;860000348;NAUT;;;1.54;;
DIALYSE_P;2019;160012159;860000348;NCINF;1;4;4.9;;
DIALYSE_P;2019;170000087;170024194;M1110;4;1;4.9;0;1
DIALYSE_P;2019;170000087;170024194;N2500;8;7;11.35;;
DIALYSE_P;2019;170000087;170024194;NAUT;1;3;0.47;;
DIALYSE_P;2019;170000087;170024194;NCINF;12;14;23.37;;
DIALYSE_P;2019;170000103;170780175;M1110;4;1;1.38;0;0
DIALYSE_P;2019;170000103;170780175;N2500;3;6;6.83;;
DIALYSE_P;2019;170000103;170780175;NAUT;1;0;0.38;;
DIALYSE_P;2019;170000103;170780175;NCINF;16;7;18.21;;
DIALYSE_P;2019;170785059;170000988;M1110;;4;0.3;0;0
DIALYSE_P;2019;170785059;170000988;NCINF;17;4;5.5;;
DIALYSE_P;2019;170792212;170000988;M1110;;;0.1;0;0
DIALYSE_P;2019;170792212;170000988;NCINF;;;6;;
DIALYSE_P;2019;170794929;170000988;M1110;;;0.1;0;0
DIALYSE_P;2019;170794929;170000988;NCINF;;;4.16;;
DIALYSE_P;2019;170795165;170000988;M1110;;;0.1;0;0
DIALYSE_P;2019;170795165;170000988;NCINF;;;1.12;;
DIALYSE_P;2019;170802656;170000988;M1110;;;0.3;0;0
DIALYSE_P;2019;170802656;170000988;NCINF;;;2;;
DIALYSE_P;2019;170804090;170000988;M1110;;;0.3;0;0
DIALYSE_P;2019;170804090;170000988;NCINF;;;1.16;;
DIALYSE_P;2019;180000010;180000028;M1110;;9;2.14;0;1
DIALYSE_P;2019;180000010;180000028;N2500;5;2;6.39;;
DIALYSE_P;2019;180000010;180000028;NAUT;;1;0.57;;
DIALYSE_P;2019;180000010;180000028;NCINF;11;3;11.85;;
DIALYSE_P;2019;180005662;370001067;NCINF;2;2;4.07;;
DIALYSE_P;2019;180005811;370001067;NCINF;2;1;2.12;;
DIALYSE_P;2019;180005829;370001067;M1110;1;2;2.38;0;0
DIALYSE_P;2019;180005829;370001067;NCINF;13;6;12.43;;
DIALYSE_P;2019;180006397;370001067;NCINF;2;1;2.15;;
DIALYSE_P;2019;190000018;190000042;M1110;3;1;1.27;0;1
DIALYSE_P;2019;190000018;190000042;N2500;3;;3;;
DIALYSE_P;2019;190000018;190000042;NAUT;4;1;4.4;;
DIALYSE_P;2019;190000018;190000042;NCINF;20;1;21.46;;
DIALYSE_P;2019;190010512;870000700;NCINF;;3;2.4;;
DIALYSE_P;2019;190010553;870000700;M1110;1;4;1.8;0;0
DIALYSE_P;2019;190010553;870000700;NAUT;;2;0.74;;
DIALYSE_P;2019;190010553;870000700;NCINF;15;2;16.37;;
DIALYSE_P;2019;210010484;210012290;M1110;4;43;13.4;0;0
DIALYSE_P;2019;210010484;210012290;N2500;3;2;4.4;;
DIALYSE_P;2019;210010484;210012290;N4100;6;;6;;
DIALYSE_P;2019;210010484;210012290;NAUT;15;20;28.25;;
DIALYSE_P;2019;210010484;210012290;NCINF;121;41;148.55;;
DIALYSE_P;2019;210780789;210003208;M1110;1;2;1.7;0;0
DIALYSE_P;2019;210780789;210003208;N2500;2;;2;;
DIALYSE_P;2019;210780789;210003208;N4100;1;;1;;
DIALYSE_P;2019;210780789;210003208;NAUT;1;;1;;
DIALYSE_P;2019;210780789;210003208;NCINF;18;4;20.9;;
DIALYSE_P;2019;210987558;210780581;M1110;2;;1.52;;
DIALYSE_P;2019;210987558;210780581;N2500;11;;10.53;;
DIALYSE_P;2019;210987558;210780581;NAUT;7;;6.05;;
DIALYSE_P;2019;210987558;210780581;NCINF;21;;20.33;;
DIALYSE_P;2019;220000012;220000020;M1110;7;1;4.08;0;1
DIALYSE_P;2019;220000012;220000020;N2500;15;5;18.31;;
DIALYSE_P;2019;220000012;220000020;NAUT;3;4;6.23;;
DIALYSE_P;2019;220000012;220000020;NCINF;32;12;32.26;;
