BOR;AN;FI;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;PLAMED;AUTOBS;PLAOBS;AUTSSR;PLASSR;AUTCAN;PLACAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2019;330000340;330780552;1;1;330000340;;;933266;1;1;0;0;0;1;0;0;1;195;0;25;0;;0;10;230;4383;353;639;2082;82208;7796;21366;6779;1729;257;477;279;457;205;62;151;0;70;2
HAD;2019;330000589;330027509;0;;;;;128000;1;1;0;0;1;1;;;1;30;1;10;0;0;0;0;40;390;142;96;14;10551;2845;2708;78;275;88;74;9;52;24;1;24;0;8;1
HAD;2019;330025958;330025859;1;1;330025958;;;325000;1;1;0;0;1;1;0;0;1;90;0;;0;;1;10;100;982;3;285;133;27099;23;8755;956;539;2;226;26;172;92;4;72;0;43;0
HAD;2019;340000223;340011295;0;;;;;185000;1;0;0;1;1;1;1;0;1;30;0;;0;;0;;30;162;0;57;9;7068;0;1795;633;125;0;44;3;50;22;0;35;0;13;0
HAD;2019;340016476;340016468;0;;;;;200000;0;0;0;1;1;1;;;1;60;0;0;0;0;0;0;60;580;0;312;13;21575;0;9099;758;436;0;246;12;188;117;3;98;0;66;0
HAD;2019;340017839;420002438;0;;;;;;0;0;0;1;1;1;;;1;30;0;;0;;0;;30;376;0;193;1;15160;0;4817;5;303;0;181;1;190;139;0;169;0;130;0
HAD;2019;340017847;340018175;0;;;;;;0;0;0;0;1;1;;;1;30;0;;0;;0;;30;331;0;150;20;8302;0;3456;568;247;0;129;9;103;76;1;34;0;28;0
HAD;2019;340021211;340780055;1;1;340016476;;;;1;;0;1;1;1;;;1;17;0;;0;;1;3;20;271;0;48;35;9507;0;1298;786;176;0;43;15;65;17;3;31;0;15;0
HAD;2019;340780154;340000116;0;;;;;150000;0;0;0;1;1;1;0;0;1;40;0;;0;;1;40;80;395;0;223;15;13918;0;5824;150;285;0;171;12;156;103;1;109;0;82;1
HAD;2019;340782036;340780477;1;2;340782036;340796663;;532000;1;0;1;0;1;1;;;1;62;1;6;0;;0;;68;1099;180;144;241;22333;2537;2805;3891;675;152;131;87;100;56;12;33;0;18;0
HAD;2019;350042628;350042578;0;;;;;832000;1;1;0;0;1;1;;;1;105;1;10;1;20;1;10;145;2009;102;694;105;48698;2293;13857;1974;1322;91;631;59;593;404;11;386;0;307;0
HAD;2019;350044772;350000626;0;;;;;263728;0;0;0;0;1;0;1;0;1;80;0;;0;;0;;80;747;1;290;24;29069;4;9202;645;559;1;234;17;258;112;1;99;0;27;0
HAD;2019;360000137;360000053;1;5;360000137;360000103;360000160;217312;1;1;0;0;1;1;;;1;32;1;1;1;1;1;1;35;312;0;82;3;7094;0;2111;28;225;0;69;2;82;33;0;42;0;15;0
HAD;2019;370009938;440052041;0;;;;;420000;1;1;0;0;1;1;;;1;90;0;0;1;10;1;30;130;944;0;517;39;35559;0;17177;1361;674;0;426;22;321;246;4;207;0;158;1
HAD;2019;370103673;370001638;1;3;;;;619004;1;1;0;0;1;1;;;1;74;0;;1;10;1;20;104;707;0;339;39;21372;0;9799;395;488;0;273;7;211;136;3;86;0;39;1
HAD;2019;380000067;380780080;0;;;;;568290;1;1;0;0;1;1;;;1;66;0;16;0;;0;;82;2280;314;142;1099;21813;5175;3770;1890;701;222;117;146;93;44;13;11;0;4;0
HAD;2019;380000174;380781435;0;;;;;190640;1;1;;;1;1;;;1;35;0;;0;;0;;35;333;0;119;78;12710;0;4104;2490;205;0;97;37;59;38;4;16;0;10;1
HAD;2019;380000406;380784751;0;;;;;200000;;;;;;;;;1;30;0;;0;;0;;30;216;0;40;4;5627;0;916;24;113;0;33;2;40;10;1;12;0;4;0
HAD;2019;390004349;390004299;0;;;;;258624;0;0;0;0;1;1;;;1;53;0;;0;;0;;53;492;0;307;45;19353;0;12528;1423;309;0;228;17;123;110;3;92;0;81;1
HAD;2019;400008199;400008108;0;;;;;150000;0;0;0;0;1;0;1;0;1;55;0;;0;;0;;55;483;0;154;25;14556;0;3960;66;283;0;118;3;82;42;2;37;0;18;0
HAD;2019;400780888;400000535;0;0;;;;225000;0;0;0;0;1;1;;;1;206;0;;0;;0;;206;1373;0;514;9;75738;0;21324;156;886;0;368;9;363;183;3;28;0;18;0
HAD;2019;410005003;440052041;1;1;410005003;;;335000;1;1;0;0;1;1;;;1;65;0;;0;;1;60;125;856;0;396;9;33541;0;11805;484;509;0;291;7;201;122;1;72;0;30;0
HAD;2019;420000010;420780033;1;5;420000010;;;;1;0;0;0;1;1;;;1;26;0;;1;1;1;23;50;468;0;210;110;12824;0;6072;2084;274;0;161;37;88;58;6;15;0;8;0
HAD;2019;420002479;420002438;0;;;;;3000000;1;0;0;0;1;1;;;1;80;1;30;1;30;1;50;190;1605;156;294;162;57546;3757;11350;8687;929;124;232;104;181;96;13;89;2;29;3
HAD;2019;420010258;420010209;0;;;;;499200;0;0;0;0;1;1;;;1;55;0;;0;;0;;100;694;0;310;77;32424;0;13103;3743;504;0;252;51;228;139;10;88;0;44;3
HAD;2019;430000117;430000018;1;2;430000117;430000117;;227000;1;0;0;0;1;1;;;1;37;0;;0;;1;1;38;461;0;133;51;13550;0;3588;1711;322;0;112;37;89;51;3;50;0;27;0
HAD;2019;440000271;440000289;0;;;;;;0;0;0;0;;;;;1;12;0;;0;;0;;12;999;76;5;418;5097;434;93;3034;164;56;4;39;0;0;0;0;0;0;0
HAD;2019;440012128;440003960;1;3;440012128;;;1025720;0;0;0;0;1;0;1;0;1;300;0;;1;;1;;300;3498;35;1029;633;72866;722;27081;2774;2305;31;845;107;615;394;12;295;0;182;1
HAD;2019;440017440;440000057;0;;;;;;;;;;;1;;;1;35;0;;0;;0;;35;1682;6;173;830;19740;44;3103;1560;787;5;160;97;271;61;25;178;0;28;2
HAD;2019;450018528;370001638;0;2;;;;585665;1;1;0;0;;;;;1;68;1;15;1;2;1;5;90;944;500;121;84;16220;5354;4102;303;693;466;87;13;50;29;1;20;0;6;0
HAD;2019;450018536;440052041;1;2;450018536;;;660000;1;0;0;0;1;1;0;0;1;160;0;;0;;0;;160;1630;152;691;36;55695;1225;22933;830;1135;146;574;20;486;351;2;307;0;215;1
HAD;2019;460000110;460780216;0;;;;;55000;1;1;0;0;1;1;;;1;15;1;4;0;;1;1;20;318;10;79;3;7748;223;1152;17;218;8;73;3;87;36;1;43;0;21;0
HAD;2019;460006075;460006067;1;3;460006075;460006075;460006075;98000;0;1;0;0;1;1;;;1;40;0;;0;;0;;40;269;1;138;11;11315;3;5515;166;190;1;102;6;75;38;1;44;0;19;0
HAD;2019;470009358;470009309;1;3;470009358;470009358;470009358;330866;1;0;0;0;1;1;1;0;1;110;0;;0;;0;;110;990;0;406;14;34842;0;13334;124;678;0;292;3;251;129;0;109;0;42;0
HAD;2019;480001825;750047367;0;;;;;77000;1;;0;0;1;1;;;1;19;;;;;;;19;163;0;65;6;6966;0;2894;171;115;0;54;4;44;31;1;25;0;15;0
HAD;2019;490000312;490012176;0;;;;;454656;1;1;0;0;1;0;0;0;1;140;0;;1;140;1;140;140;2116;37;465;220;33162;317;12452;1148;1189;35;366;38;266;166;10;106;0;73;1
