BOR;AN;FI;FI_EJ;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2019;620000034;620100057;SURVADU;10;2380;609;;;2259;;;;3;16;8.93;1;;0.3;12;2;13.03;5;1;5.68;;;;1;;1
REA;2019;620000034;620100057;SURVENF;4;1460;723;;;2358;;;;;4;0.36;4;;4.28;6;;3.32;2;1;4.29;;1;0.38;;;0.21
REA;2019;620000034;620100057;USIC;6;2190;519;;;1850;;;;;5;0.64;;;;4;;4;4;;4;;;;;;
REA;2019;620000224;620100651;AUTSI;11;2190;295;;;2563;;;;11;5;2.58;1;0;0.49;20;1;13.54;17;9;10.81;0;0;0;0;1;0.37
REA;2019;620000224;620100651;REAADU;11;4015;596;624;40;3062;18;41;61;5;1;2.99;1;;0.99;23;2;23.06;12;1;11.09;;;;;1;0.48
REA;2019;620000224;620100651;SITOT;19;5110;822;;;4455;;;;;;;;;;;;;;;;;;;;;
REA;2019;620000224;620100651;SIUNV;8;2920;527;;;1892;;;;6;0;2.05;1;0;0.3;13;0;7.2;7;3;6.55;0;0;0;0;0;0
REA;2019;620000224;620100651;SURVADU;9;1980;447;;;1643;;;;5;1;1.5;1;;0.37;12;1;11.53;9;1;8.51;;;;;1;0.37
REA;2019;620000257;620100685;AUTSI;4;1460;52;;;1039;;;;4;2;0.51;0;0;0;6;1;2.59;2;1;1.72;0;0;0;3;0;0.21
REA;2019;620000257;620100685;REAADU;18;6570;639;662;45;4009;7;7;65;6;4;5.9;2;0;2;36;7;37.5;23;3;25.1;0;0;0;0;0;0
REA;2019;620000257;620100685;SITOT;27;9747;1953;;;8085;;;;;;;;;;;;;;;;;;;;;
REA;2019;620000257;620100685;SIUNV;7;2555;747;;;1817;;;;3;4;1.77;0;0;0;10;1;10.02;8;1;7.6;0;0;0;2;0;1.4
REA;2019;620000257;620100685;SURVADU;12;4380;751;;;2617;;;;6;4;1.3;1;0;1;18;3;18.2;23;3;12.9;0;0;0;0;0;0
REA;2019;620000257;620100685;SURVENF;5;1825;514;;;1456;;;;;;;;;;6;6;8.3;6;0;5.4;0;0;0;0;0;0
REA;2019;620000257;620100685;USIC;16;5732;1154;;;5229;;;;9;4;2.51;0;1;0.5;25;0;24.23;13;0;12.6;0;0;0;1;0;0.95
REA;2019;620000323;620101337;AUTSI;4;1156;318;;;1277;;;;1;12;0.5;;1;0.1;2;43;4;1;32;4;;;;1;3;0.2
REA;2019;620000323;620101337;REAADU;10;3802;404;409;22;2879;8;44;45;;7;4.59;;1;0.56;4;35;28.85;2;27;18.35;;;;;11;3.48
REA;2019;620000323;620101337;SITOT;16;5536;1266;;;5955;;;;;;;;;;;;;;;;;;;;;
REA;2019;620000323;620101337;SIUNV;6;2190;439;;;1799;;;;;5;0.74;;;0.21;4;6;5.88;2;8;4.46;;;;;2;0.8
REA;2019;620000323;620101337;SURVADU;4;1612;258;;;1039;;;;;7;0.96;;2;0.43;;42;9.47;;27;6.14;;;;;3;0.81
REA;2019;620000323;620101337;SURVENF;4;1460;449;;;1116;;;;2;;2;;;;;;;;;;;;;;;
REA;2019;620000323;620101337;USIC;6;2190;509;;;2879;;;;1;12;1.83;;2;0.31;2;43;6.99;1;32;3.85;;;;1;3;0.73
REA;2019;620000349;620101360;REAADU;8;2920;300;306;16;2055;2;50;60;5;;4.75;1;1;0.7;16;1;16.79;12;;11.49;;;;1;;1
REA;2019;620000349;620101360;SITOT;6;2190;537;;;1610;;;;;;;;;;;;;;;;;;;;;
REA;2019;620000349;620101360;SURVADU;4;1594;229;;;1399;;;;1;1;1.8;;2;0.7;9;1;8.39;5;0;4.85;;;;1;;0.5
REA;2019;620000349;620101360;USIC;6;2190;537;;;1610;;;;;4;1.29;;1;0.2;7;3;8.67;7;2;7.77;;;;;1;0.6
REA;2019;620000653;620103440;REAADU;10;3650;358;361;24;2579;8;51;46;;6;4.05;1;;0.25;22;3;23.23;10;2;10.85;;;;2;4;4.53
REA;2019;620000653;620103440;SITOT;15;5475;1493;;;4875;;;;;;;;;;;;;;;;;;;;;
REA;2019;620000653;620103440;SIUNV;6;2190;612;;;1608;;;;;6;1.31;;;;;;;;;;;;;;;
REA;2019;620000653;620103440;SURVADU;6;2190;424;;;1450;;;;;4;0.8;;;;;;;;;;;;;;;
REA;2019;620000653;620103440;SURVENF;4;1460;276;;;732;;;;;11;1.51;;;;;;;;;;;;;;;
REA;2019;620000653;620103440;USIC;9;3285;881;;;3267;;;;;6;0.8;;;;;;;;;;;;;;;
REA;2019;620003202;620103432;REAADU;8;2920;322;326;18;2199;11;57;67;2;4;4.22;1;;1;18;3;19.4;12;1;13.72;;;;2;;1.84
