BOR;AN;FI;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2019;150000164;150780468;1;1;0;0;0;;0;0;48;35;35;;1;;;333;126;13;;;;472;93;37;9;30;17;240;;;146;94;;;;;;;;;;;;;;;;
SMURSAMU;2019;160000253;160000451;1;1;0;0;0;;0;1;336;336;336;3;3;0;0;1588;575;282;48;33;0;2526;521;206;9;95;211;1190;80;246;1155;35;149068;12524;134574;124546;76086;62212;28773;284;168;116;356;0;2;0;240;0
SMURSAMU;2019;160000303;160006037;1;1;0;0;0;;0;0;168;168;168;1;1;;;341;3;;;;;344;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;160000311;160000485;1;1;0;0;0;;0;0;168;160;8;1;1;;;321;88;;;;;409;115;32;2;23;52;206;16;47;106;100;;;;;;;;;;;;;;;;
SMURSAMU;2019;160000337;160000493;1;1;0;0;0;;0;0;168;210;168;1;0;0;0;542;7;4;;;;553;63;58;1;4;0;452;46;95;180;272;;;;;;;;;;;;;;;;
SMURSAMU;2019;160015368;160014411;1;1;0;0;0;;0;0;168;168;168;1;1;;;440;4;26;5;8;;483;124;68;2;38;16;349;28;184;239;110;;;;;;;;;;;;;;;;
SMURSAMU;2019;170000038;170780050;1;1;0;0;0;;0;0;168;168;168;;2;;;545;15;;;;;560;199;64;5;42;88;295;39;59;154;141;;;;;;;;;;;;;;;;
SMURSAMU;2019;170000087;170024194;1;1;1;0;0;;0;1;357;357;357;3;2;;;1526;639;;172;174;8;2519;790;229;3;156;447;1027;84;127;935;92;272409;16558;248191;221541;168340;140437;58198;381;216;165;637;0;0;;2385;0
SMURSAMU;2019;170000095;170780167;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;383;5;0;0;0;0;388;153;70;4;52;27;309;38;105;190;119;;;;;;;;;;;;;;;;
SMURSAMU;2019;170000103;170780175;1;1;0;0;0;;0;0;336;336;336;2;1;;;839;921;0;12;6;;1778;178;1;177;;0;663;105;128;619;44;;;;;;;;;;;;;;;;
SMURSAMU;2019;170000129;170780191;1;1;0;0;0;;0;0;168;168;168;;2;;;715;16;;;;;731;351;121;;56;174;353;;;271;82;;;;;;;;;;;;;;;;
SMURSAMU;2019;170000152;170780225;1;1;0;0;0;;0;0;168;168;168;;2;;;894;;;;;;894;590;104;2;26;458;738;71;147;565;173;;;;;;;;;;;;;;;;
SMURSAMU;2019;170024590;170780225;1;0;0;0;1;170780225;1;0;168;168;168;;1;;;148;;;;;;148;142;7;1;17;117;130;14;3;117;13;;;;;;;;;;;;;;;;
SMURSAMU;2019;180000010;180000028;1;1;0;0;0;;0;1;222;301;273;3;1;0;0;1457;319;325;;;;2101;443;153;16;98;168;1014;133;184;1002;12;;;;;96292;84102;9124;200;168;32;420;0;1;0;1023;1
SMURSAMU;2019;180000200;180000051;1;1;0;0;0;180000051;0;0;168;168;0;0;2;0;0;612;93;1;0;0;0;706;219;73;1;29;116;584;;;464;120;;;;;;;;;;;;;;;;
SMURSAMU;2019;180000283;180000069;1;1;0;0;0;;0;0;168;172;;;;;;538;60;;;;;598;218;81;3;26;59;331;15;54;221;110;;;;;;;;;;;;;;;;
SMURSAMU;2019;190000018;190000042;1;1;0;0;0;;0;0;336;168;366;2;3;;;1298;249;1;7;70;;1625;216;61;60;;;1092;62;250;1044;48;;;;;;;;;;;;;;;;
SMURSAMU;2019;190000026;190000059;1;1;0;0;0;;0;1;168;168;168;2;2;;;990;228;0;0;1;0;1219;519;83;17;417;2;472;26;90;362;110;105722;0;96773;96773;67421;50957;23281;260;168;92;343;0;11;0;3426;1
SMURSAMU;2019;190010892;190000059;1;0;0;0;1;190000059;0;0;168;168;168;0;2;0;0;396;137;;;;;533;58;40;;18;0;340;;;261;79;;;;;;;;;;;;;;;;
SMURSAMU;2019;210987558;210780581;1;1;0;1;0;;0;1;522;560;504;5;5;1;;3464;1029;371;105;573;0;5542;1470;314;28;446;682;2443;433;729;2041;402;365850;30112;324551;280814;205345;157963;39240;596;418;178;879;0;0;0;7500;0
SMURSAMU;2019;210987657;210012175;1;1;0;0;0;;0;0;168;168;168;1;1;;;872;17;0;;;;889;175;83;0;92;;702;63;177;548;154;;;;;;;;;;;;;;;;
SMURSAMU;2019;210987665;210012142;1;1;0;0;0;;0;0;168;168;168;;1;;;245;0;;;;;245;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;210987699;210780706;1;1;0;0;0;;0;0;168;175;168;2;1;;;466;38;;;;;504;93;59;0;31;3;392;30;131;376;16;;;;;;;;;;;;;;;;
SMURSAMU;2019;220000012;220000020;1;1;0;0;0;220000020;0;1;336;220;373;3;3;1;0;1144;198;55;320;121;0;1838;1101;210;1;58;583;1120;106;126;1026;94;222036;262;212297;192914;108815;101105;38603;312;168;144;508;1;1;0;1483;0
SMURSAMU;2019;220000095;220000046;1;1;0;0;0;;0;0;168;168;168;2;0;0;0;575;35;42;9;0;;661;88;73;1;0;;489;37;94;310;179;;;;;;;;;;;;;;;;
SMURSAMU;2019;220000343;220000079;1;1;0;0;0;;0;0;19;19;19;;1;;;400;1;;;;;401;84;69;1;12;;329;20;59;232;97;;;;;;;;;;;;;;;;
SMURSAMU;2019;220000368;220000103;1;1;0;0;0;;0;0;168;168;86;;1;;;625;10;;;;;635;334;66;;14;190;335;24;77;244;91;;;;;;;;;;;;;;;;
SMURSAMU;2019;220000541;220000152;1;1;0;0;0;;0;0;168;168;168;;1;;;350;21;;;;;371;63;51;;12;;287;20;85;196;91;;;;;;;;;;;;;;;;
SMURSAMU;2019;230000820;230780041;1;1;0;0;0;;0;1;168;168;0;0;3;0;0;746;318;52;0;0;0;1116;258;126;6;25;101;589;;;411;178;40240;0;40240;;39717;36642;5538;212;168;44;252;1;2;0;1161;0
SMURSAMU;2019;240000372;240000059;1;1;0;0;0;;0;0;168;175;175;;2;;;626;153;;;;;779;145;105;5;35;271;200;10;33;127;73;;;;;;;;;;;;;;;;
SMURSAMU;2019;240000489;240000117;1;1;0;0;0;;0;1;504;336;336;2;4;1;;1932;773;13;287;204;0;3209;745;266;12;58;403;1667;117;190;1472;195;173822;15085;150787;127160;113696;88681;37299;168;;77;528;0;6;0;939;0
SMURSAMU;2019;240000687;240000448;1;1;0;0;0;;0;0;168;168;168;;2;;;400;18;;;;;418;121;78;;43;;292;17;45;229;63;;;;;;;;;;;;;;;;
SMURSAMU;2019;250000700;250000452;1;1;0;0;0;;0;0;168;168;168;;2;;;794;96;;;;;890;342;81;1;16;244;692;100;153;609;83;;;;;;;;;;;;;;;;
SMURSAMU;2019;250006954;250000015;1;1;0;0;0;;0;1;504;504;504;2;4;1;0;3163;471;;631;894;;5159;1474;247;402;;825;3499;343;470;3238;261;601286;0;558487;476105;376248;241567;95335;728;420;308;1416;1;14;0;8492;0
SMURSAMU;2019;260000013;260000021;1;1;0;0;0;;0;1;336;336;336;2;2;1;;1319;696;76;276;412;;2779;342;281;8;31;19;1264;111;176;813;229;292474;;266151;223567;128632;102880;33864;276;168;108;;0;21;0;1082;0
SMURSAMU;2019;260000120;260016910;1;1;0;0;0;;0;0;168;168;168;;2;;;946;47;;14;1;;1008;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;260000138;260000047;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;915;72;0;0;0;0;987;356;153;5;25;201;527;52;83;431;96;;;;;;;;;;;;;;;;
SMURSAMU;2019;270000045;270000060;1;1;0;0;0;;0;0;168;168;105;;1;;;582;38;;5;7;;632;287;71;1;27;189;330;27;82;170;160;;;;;;;;;;;;;;;;
SMURSAMU;2019;270000359;270023724;1;1;0;0;0;;0;1;336;168;336;1;3;1;;1585;790;;4;12;;2391;595;177;4;109;642;1346;;;;;268300;;255533;183913;96497;91114;33416;272;168;104;528;1;0;;1770;0
SMURSAMU;2019;270000367;270000086;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;628;37;0;0;0;0;665;404;87;14;27;276;327;48;62;141;186;;;;;;;;;;;;;;;;
SMURSAMU;2019;270000425;270000102;1;1;0;0;0;;0;0;168;168;168;;1;;;720;;;;;;720;111;75;1;35;;513;;;155;358;;;;;;;;;;;;;;;;
SMURSAMU;2019;270000441;270000110;1;1;0;0;0;;0;0;168;168;168;;2;;;460;18;0;;5;;483;275;61;4;34;76;223;16;33;39;184;;;;;;;;;;;;;;;;
SMURSAMU;2019;270000458;270023724;1;1;0;0;0;;0;0;168;168;168;;1;;;665;;;1;;;666;238;;124;;;573;340;;270;303;;;;;;;;;;;;;;;;
SMURSAMU;2019;280000084;280000183;1;1;0;0;0;;0;1;252;336;168;1;3;1;;1330;267;35;100;443;;2175;738;217;22;88;445;692;55;107;486;206;162682;;156006;146832;97054;84261;17355;310;252;58;420;0;0;;3260;0
SMURSAMU;2019;280000662;280500075;1;1;0;0;0;;0;0;;;;;1;;;725;12;;;;;737;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2019;280502998;280000589;1;1;0;0;0;;0;0;168;168;0;0;1;0;0;544;7;0;1;0;0;552;281;89;3;19;180;264;9;68;155;109;;;;;;;;;;;;;;;;
SMURSAMU;2019;280504267;280000134;1;1;0;0;0;;0;0;336;336;168;3;1;0;0;1685;335;;;1;;2021;918;325;8;56;600;1372;108;239;1245;127;;;;;;;;;;;;;;;;
SMURSAMU;2019;290000025;290020700;1;1;0;0;0;;0;0;174;168;168;1;1;;;1314;66;70;22;4;;1476;631;93;46;28;464;696;76;103;609;87;;;;;;;;;;;;;;;;
SMURSAMU;2019;290000033;290021542;1;1;0;0;0;;0;0;168;168;168;1;1;;;1080;243;;4;;;1327;475;97;9;49;304;600;56;95;408;192;;;;;;;;;;;;;;;;
SMURSAMU;2019;290000066;290020700;1;0;0;0;1;290020700;0;0;168;168;168;;1;;;776;76;;27;2;;881;386;59;26;15;286;415;39;73;24;391;;;;;;;;;;;;;;;;
