BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP
SSR_P;2019;030000095;030780126;N3120;;1;0.7
SSR_P;2019;030000095;030780126;NAUT;9;;8.22
SSR_P;2019;030000095;030780126;NCINF;7;4;9.13
SSR_P;2019;030002208;030002158;M1010;6;;7.5
SSR_P;2019;030002208;030002158;N241P;;2;1.14
SSR_P;2019;030002208;030002158;N2450;;1;0.5
SSR_P;2019;030002208;030002158;N2460;2;;2
SSR_P;2019;030002208;030002158;N2500;30;7;36.1
SSR_P;2019;030002208;030002158;N3120;1;;1
SSR_P;2019;030002208;030002158;NAUT;20;12;24.82
SSR_P;2019;030002208;030002158;NCINF;10;11;17.7
SSR_P;2019;030007942;030002158;M1010;1;;1
SSR_P;2019;030007942;030002158;N241P;5;3;4.37
SSR_P;2019;030007942;030002158;N2450;;2;1.45
SSR_P;2019;030007942;030002158;N2460;2;;2
SSR_P;2019;030007942;030002158;N2500;1;4;4.43
SSR_P;2019;030007942;030002158;N2710;2;1;2.8
SSR_P;2019;030007942;030002158;N310H;2;1;2.86
SSR_P;2019;030007942;030002158;N3120;1;1;1.91
SSR_P;2019;030007942;030002158;NAUT;3;2;4.42
SSR_P;2019;030007942;030002158;NCINF;9;1;9.91
SSR_P;2019;030780548;030000194;M1010;;16;2.39
SSR_P;2019;030780548;030000194;M1040;;1;0.1
SSR_P;2019;030780548;030000194;M1120;;1;0.2
SSR_P;2019;030780548;030000194;M1150;;1;0.1
SSR_P;2019;030780548;030000194;M1180;2;;2
SSR_P;2019;030780548;030000194;M1320;;1;0.5
SSR_P;2019;030780548;030000194;N241P;;9;7.25
SSR_P;2019;030780548;030000194;N2450;;1;0.5
SSR_P;2019;030780548;030000194;N2460;;2;0.85
SSR_P;2019;030780548;030000194;N2500;12;;11.1
SSR_P;2019;030780548;030000194;N3120;;2;1
SSR_P;2019;030780548;030000194;NAUT;5;;5.08
SSR_P;2019;030780548;030000194;NCINF;9;;8.82
SSR_P;2019;030781116;030000426;M1010;1;;1
SSR_P;2019;030781116;030000426;M1320;1;;1
SSR_P;2019;030781116;030000426;N2450;;1;0.4
SSR_P;2019;030781116;030000426;N2500;16;2;17.3
SSR_P;2019;030781116;030000426;N2710;1;;0.5
SSR_P;2019;030781116;030000426;N3120;1;;1
SSR_P;2019;030781116;030000426;NAUT;1;;1
SSR_P;2019;030781116;030000426;NCINF;11;1;11.7
SSR_P;2019;040000028;040780124;M1010;0;;0.5
SSR_P;2019;040000028;040780124;N241P;1;0;0.8
SSR_P;2019;040000028;040780124;N2500;7;7;11
SSR_P;2019;040000028;040780124;N2710;0;0;0.2
SSR_P;2019;040000028;040780124;N310H;0;1;0.3
SSR_P;2019;040000028;040780124;N3120;1;0;0.2
SSR_P;2019;040000028;040780124;NAUT;4;10;8
SSR_P;2019;040000028;040780124;NCINF;2;3;4.3
SSR_P;2019;040000036;040780132;M1010;;1;0.16
SSR_P;2019;040000036;040780132;N2450;;1;0.15
SSR_P;2019;040000036;040780132;N2500;6;6;2.24
SSR_P;2019;040000036;040780132;NCINF;2;8;2.69
SSR_P;2019;040000044;040780140;M1010;;2;0.24
SSR_P;2019;040000044;040780140;N2500;5;0;0.83
SSR_P;2019;040000044;040780140;NAUT;13;2;2.34
SSR_P;2019;040000044;040780140;NCINF;3;2;1.54
SSR_P;2019;040000069;040780181;M1010;1;1;1.5
SSR_P;2019;040000069;040780181;M1180;;2;1
SSR_P;2019;040000069;040780181;N241P;5;1;5.3
SSR_P;2019;040000069;040780181;N2450;1;0;0.5
SSR_P;2019;040000069;040780181;N2460;1;1;1.9
SSR_P;2019;040000069;040780181;N2500;15;0;15
SSR_P;2019;040000069;040780181;N2710;0;1;0.5
SSR_P;2019;040000069;040780181;NAUT;5;5;4.2
SSR_P;2019;040000069;040780181;NCINF;7;5;11.7
SSR_P;2019;040000119;040780231;M1010;;6;4.5
SSR_P;2019;040000119;040780231;N241P;1;;0.22
SSR_P;2019;040000119;040780231;N2450;2;;0.25
SSR_P;2019;040000119;040780231;N2500;6;2;7.88
SSR_P;2019;040000119;040780231;NCINF;4;2;4.53
SSR_P;2019;040000135;050002948;M1040;0;1;0.24
SSR_P;2019;040000135;050002948;M1180;1;0;1.06
SSR_P;2019;040000135;050002948;N241P;1;1;1.5
SSR_P;2019;040000135;050002948;N2450;0;2;0.5
SSR_P;2019;040000135;050002948;N2500;6;10;11.43
SSR_P;2019;040000135;050002948;N2710;1;0;0.3
SSR_P;2019;040000135;050002948;NAUT;3;2;4.67
SSR_P;2019;040000135;050002948;NCINF;5;11;10.67
SSR_P;2019;040780389;040000192;M1010;3;2;3.2
SSR_P;2019;040780389;040000192;M1320;;1;0.1
SSR_P;2019;040780389;040000192;N241P;;4;2.5
SSR_P;2019;040780389;040000192;N2450;;1;0.5
SSR_P;2019;040780389;040000192;N2500;12;5;16
SSR_P;2019;040780389;040000192;N2710;;1;0.5
SSR_P;2019;040780389;040000192;N3120;;1;0.5
SSR_P;2019;040780389;040000192;NCINF;13;3;15
SSR_P;2019;040780405;040000168;M1010;;2;1.4
